technology	tissue	sex	timepoint	experiment_accession	library_accession	file_accession
Parse	Gastrocnemius	Female	PND_36	ENCSR966QJD	ENCLB840OSY	ENCFF640MQW
Parse	Gastrocnemius	Male	PND_36	ENCSR580UNE	ENCLB996GDM	ENCFF392SEB
Parse	Gastrocnemius	Male	PND_36	ENCSR580UNE	ENCLB549UXG	ENCFF864RDV
Parse	Gastrocnemius	Female	PNM_02	ENCSR137UJM	ENCLB439RIB	ENCFF565NTX
Parse	Gastrocnemius	Female	PNM_02	ENCSR137UJM	ENCLB295AKM	ENCFF489LKH
Parse	Gastrocnemius	Male	PNM_02	ENCSR150KKS	ENCLB213PUL	ENCFF242CNE
Parse	Gastrocnemius	Male	PNM_02	ENCSR150KKS	ENCLB570ZDP	ENCFF052TLF
Parse	Gastrocnemius	Female	PNM_18-20	ENCSR279GBC	ENCLB677KVE	ENCFF456APF
Parse	Gastrocnemius	Female	PNM_18-20	ENCSR279GBC	ENCLB122RJO	ENCFF942HQU
Parse	Gastrocnemius	Male	PNM_18-20	ENCSR480RWU	ENCLB961HIF	ENCFF167RAK
Parse	Gastrocnemius	Male	PNM_18-20	ENCSR480RWU	ENCLB223ZBJ	ENCFF725SHE
Parse	Gastrocnemius	Female	PND_04	ENCSR644SME	ENCLB918XPI	ENCFF438DYL
Parse	Gastrocnemius	Female	PND_04	ENCSR644SME	ENCLB304ADY	ENCFF608RMA
Parse	Gastrocnemius	Male	PND_04	ENCSR790DPF	ENCLB578UHU	ENCFF436XXO
Parse	Gastrocnemius	Male	PND_04	ENCSR790DPF	ENCLB086AKH	ENCFF849EJG
Parse	Gastrocnemius	Female	PND_10	ENCSR138QIF	ENCLB639CLJ	ENCFF519TAN
Parse	Gastrocnemius	Female	PND_10	ENCSR138QIF	ENCLB479CCX	ENCFF138MAN
Parse	Gastrocnemius	Male	PND_10	ENCSR182SMX	ENCLB057CVT	ENCFF572KVD
Parse	Gastrocnemius	Male	PND_10	ENCSR182SMX	ENCLB112QYE	ENCFF523WIS
Parse	Gastrocnemius	Female	PND_14	ENCSR094YHS	ENCLB225LKT	ENCFF400PVV
Parse	Gastrocnemius	Female	PND_14	ENCSR094YHS	ENCLB249QAX	ENCFF444GUD
Parse	Gastrocnemius	Male	PND_14	ENCSR160AKB	ENCLB064HGO	ENCFF601WXH
Parse	Gastrocnemius	Male	PND_14	ENCSR160AKB	ENCLB914VRR	ENCFF631AAE
Parse	Gastrocnemius	Female	PND_25	ENCSR800QGK	ENCLB794POB	ENCFF837GRY
Parse	Gastrocnemius	Female	PND_25	ENCSR800QGK	ENCLB880ZLG	ENCFF051XPU
Parse	Gastrocnemius	Male	PND_25	ENCSR358NKP	ENCLB745WXH	ENCFF773WGE
Parse	Gastrocnemius	Male	PND_25	ENCSR358NKP	ENCLB342BHZ	ENCFF489TJK
Parse	Gastrocnemius	Female	PND_36	ENCSR548JRH	ENCLB912OOA	ENCFF500NPJ
Parse	Gastrocnemius	Female	PND_36	ENCSR548JRH	ENCLB640NHB	ENCFF026QYM
Parse	Gastrocnemius	Male	PND_36	ENCSR231VJO	ENCLB571LOU	ENCFF653UZO
Parse	Gastrocnemius	Male	PND_36	ENCSR231VJO	ENCLB567VTD	ENCFF369WOY
Parse	Gastrocnemius	Female	PNM_02	ENCSR816PAX	ENCLB204EKU	ENCFF745KTY
Parse	Gastrocnemius	Female	PNM_02	ENCSR816PAX	ENCLB469VRL	ENCFF267CMZ
Parse	Gastrocnemius	Male	PNM_02	ENCSR026VDA	ENCLB522NPO	ENCFF992YXD
Parse	Gastrocnemius	Male	PNM_02	ENCSR026VDA	ENCLB873RKB	ENCFF524QBH
Parse	Gastrocnemius	Female	PNM_18-20	ENCSR083EPD	ENCLB620HWQ	ENCFF121PLD
Parse	Gastrocnemius	Female	PNM_18-20	ENCSR083EPD	ENCLB754SEX	ENCFF937QCU
Parse	Gastrocnemius	Male	PNM_18-20	ENCSR425UJQ	ENCLB947PWM	ENCFF160XTO
Parse	Gastrocnemius	Male	PNM_18-20	ENCSR425UJQ	ENCLB773HLI	ENCFF340UGS
